"Family","Sanger_ID","CS","std","ravg"
"Pseudomonadaceae",940,"benzoate",0.00143309609819926,0.001
"Pseudomonadaceae",940,"glutamine",0.00869670159816118,0.015
"Pseudomonadaceae",940,"glycine",0.00138676774965718,0.003
"Pseudomonadaceae",954,"glucose",0.00444916830289313,0.082
"Pseudomonadaceae",954,"fructose",0.0118221712879178,0.031
"Pseudomonadaceae",954,"cellobiose",0.00940051012085175,0.028
"Pseudomonadaceae",954,"ribose",0.00404377478933846,0.017
"Pseudomonadaceae",954,"glycerol",0.0116199207507679,0.026
"Pseudomonadaceae",954,"succinate",0.00647816546387449,0.094
"Pseudomonadaceae",954,"fumarate",0.0104374415323981,0.23
"Pseudomonadaceae",954,"benzoate",0.0165498953000516,0.072
"Pseudomonadaceae",954,"glutamine",0.00787622456487827,0.026
"Pseudomonadaceae",954,"glycine",0.00354085991146374,0.011
"Pseudomonadaceae",956,"glucose",0.00511857827693857,0.238
"Pseudomonadaceae",956,"fructose",0.00589330686591802,0.018
"Pseudomonadaceae",956,"cellobiose",0.00496379542671335,0.026
"Pseudomonadaceae",956,"ribose",0.0242790076624489,0.027
"Pseudomonadaceae",956,"glycerol",0.0105190197022205,0.098
"Pseudomonadaceae",956,"succinate",0.00973946076584973,0.216
"Pseudomonadaceae",956,"fumarate",0.00524015094075137,0.292
"Pseudomonadaceae",956,"benzoate",0.00575151408726454,0.188
"Pseudomonadaceae",956,"glutamine",0.00344307916435836,0.24
"Pseudomonadaceae",956,"glycine",0.00757967553326786,0.155
"Moraxellaceae",899,"glucose",0.0108802779971134,0.05
"Moraxellaceae",899,"fructose",0.010685204764112,0.033
"Moraxellaceae",899,"cellobiose",0.0204330533553051,0.066
"Moraxellaceae",899,"ribose",0.00632141299334622,0.031
"Moraxellaceae",899,"glycerol",0.0094832616286704,0.028
"Moraxellaceae",899,"succinate",0.0109025796426428,0.167
"Moraxellaceae",899,"fumarate",0.00712423248407677,0.266
"Moraxellaceae",899,"benzoate",0.00666992940449952,0.006
"Moraxellaceae",899,"glutamine",0.0124835732627715,0.197
"Moraxellaceae",899,"glycine",0.0199660335593866,0.016
"Moraxellaceae",903,"glucose",0.0160534859005501,0.102
"Moraxellaceae",903,"fructose",0.0156143535948961,0.099
"Moraxellaceae",903,"cellobiose",0.032396384630148,0.096
"Moraxellaceae",903,"ribose",0.0155451173677033,0.066
"Moraxellaceae",903,"glycerol",0.012898031512006,0.092
"Moraxellaceae",903,"succinate",0.00581143090925752,0.152
"Moraxellaceae",903,"fumarate",0.00699820406199692,0.251
"Moraxellaceae",903,"benzoate",0.011563025244815,0.008
