"Inoculum","Carbon_Source","Family","Replicate","sum_relab","Family_type"
1,"benzoate","Enterobacteriaceae",1,0.069672512,"Enterobacteriaceae"
1,"benzoate","Enterococcaceae",1,0.023378792,"Enterococcaceae"
1,"benzoate","Flavobacteriaceae",1,0.193431673,"Flavobacteriaceae"
1,"benzoate","Pseudomonadaceae",1,0.700992671,"Pseudomonadaceae"
1,"benzoate","Enterobacteriaceae",2,0.071249679,"Enterobacteriaceae"
1,"benzoate","Enterococcaceae",2,0.013266537,"Enterococcaceae"
1,"benzoate","Flavobacteriaceae",2,0.179515725,"Flavobacteriaceae"
1,"benzoate","Moraxellaceae",2,0.02393543,"Moraxellaceae"
1,"benzoate","Pseudomonadaceae",2,0.696354022,"Pseudomonadaceae"
1,"benzoate","Enterobacteriaceae",3,0.053530013,"Enterobacteriaceae"
1,"benzoate","Flavobacteriaceae",3,0.212264589,"Flavobacteriaceae"
1,"benzoate","Moraxellaceae",3,0.013173763,"Moraxellaceae"
1,"benzoate","Pseudomonadaceae",3,0.700528806,"Pseudomonadaceae"
1,"benzoate","Flavobacteriaceae",4,0.166156415,"Flavobacteriaceae"
1,"benzoate","Pseudomonadaceae",4,0.802115225,"Pseudomonadaceae"
1,"benzoate","Sphingobacteriaceae",4,0.011225531,"Sphingobacteriaceae"
1,"cellobiose","Enterobacteriaceae",1,0.9965674,"Enterobacteriaceae"
1,"cellobiose","Enterobacteriaceae",2,0.988125058,"Enterobacteriaceae"
1,"cellobiose","Enterobacteriaceae",3,0.997866222,"Enterobacteriaceae"
1,"cellobiose","Enterobacteriaceae",4,0.983115318,"Enterobacteriaceae"
1,"fructose","Enterobacteriaceae",1,0.993691437,"Enterobacteriaceae"
1,"fructose","Enterobacteriaceae",2,0.99100102,"Enterobacteriaceae"
1,"fructose","Enterobacteriaceae",3,0.99100102,"Enterobacteriaceae"
1,"fructose","Enterobacteriaceae",4,0.987197329,"Enterobacteriaceae"
1,"fumarate","Comamonadaceae",1,0.015956954,"Comamonadaceae"
