"Family","Sanger_ID","CS","ravg"
"Moraxellaceae",903,"fumarate",0.251
"Moraxellaceae",903,"benzoate",0.008
"Moraxellaceae",903,"glutamine",0.188
"Moraxellaceae",903,"glycine",0.013
"Moraxellaceae",910,"glucose",0.094
"Moraxellaceae",910,"fructose",0.091
"Moraxellaceae",910,"cellobiose",0.105
"Moraxellaceae",910,"ribose",0.066
"Moraxellaceae",910,"glycerol",0.098
"Moraxellaceae",910,"succinate",0.159
"Moraxellaceae",910,"fumarate",0.245
"Moraxellaceae",910,"benzoate",0.081
"Moraxellaceae",910,"glutamine",0.197
"Moraxellaceae",910,"glycine",0.019
"Moraxellaceae",912,"glucose",0.099
"Moraxellaceae",912,"fructose",0.105
"Moraxellaceae",912,"cellobiose",0.105
"Moraxellaceae",912,"ribose",0.079
"Moraxellaceae",912,"glycerol",0.103
"Moraxellaceae",912,"succinate",0.17
"Moraxellaceae",912,"fumarate",0.241
"Moraxellaceae",912,"benzoate",0.091
"Moraxellaceae",912,"glutamine",0.199
"Moraxellaceae",912,"glycine",0.011
"Moraxellaceae",921,"glucose",0.071
"Moraxellaceae",921,"fructose",0.048
"Moraxellaceae",921,"cellobiose",0.061
"Moraxellaceae",921,"ribose",0.025
"Moraxellaceae",921,"glycerol",0.043
"Moraxellaceae",921,"succinate",0.178
"Moraxellaceae",921,"fumarate",0.252
"Moraxellaceae",921,"benzoate",0.088
"Moraxellaceae",921,"glutamine",0.214
"Moraxellaceae",921,"glycine",0.008
"Moraxellaceae",923,"glucose",0.098
"Moraxellaceae",923,"fructose",0.078
"Moraxellaceae",923,"cellobiose",0.095
"Moraxellaceae",923,"ribose",0.114
"Moraxellaceae",923,"glycerol",0.078
"Moraxellaceae",923,"succinate",0.154
"Moraxellaceae",923,"fumarate",0.252
"Moraxellaceae",923,"benzoate",0.002
"Moraxellaceae",923,"glutamine",0.204
"Moraxellaceae",923,"glycine",0.006
"Rhizobiaceae",897,"glucose",0.159
"Rhizobiaceae",897,"fructose",0.16
"Rhizobiaceae",897,"cellobiose",0.149
"Rhizobiaceae",897,"ribose",0.103
"Rhizobiaceae",897,"glycerol",0.151
"Rhizobiaceae",897,"succinate",0.146
"Rhizobiaceae",897,"fumarate",0.168
"Rhizobiaceae",897,"benzoate",0.002
"Rhizobiaceae",897,"glutamine",0.147
"Rhizobiaceae",897,"glycine",0.003
"Rhizobiaceae",901,"glucose",0.167
"Rhizobiaceae",901,"fructose",0.156
"Rhizobiaceae",901,"cellobiose",0.13
"Rhizobiaceae",901,"ribose",0.07
"Rhizobiaceae",901,"glycerol",0.132
"Rhizobiaceae",901,"succinate",0.152
"Rhizobiaceae",901,"fumarate",0.182
"Rhizobiaceae",901,"benzoate",0.001
"Rhizobiaceae",901,"glutamine",0.128
"Rhizobiaceae",901,"glycine",0.002
"Rhizobiaceae",914,"glucose",0.142
"Rhizobiaceae",914,"fructose",0.14
"Rhizobiaceae",914,"cellobiose",0.139
"Rhizobiaceae",914,"ribose",0.081
"Rhizobiaceae",914,"glycerol",0.122
"Rhizobiaceae",914,"succinate",0.117
"Rhizobiaceae",914,"fumarate",0.16
"Rhizobiaceae",914,"benzoate",0.001
"Rhizobiaceae",914,"glutamine",0.136
"Rhizobiaceae",914,"glycine",0.003
"Rhizobiaceae",920,"glucose",0.17
"Rhizobiaceae",920,"fructose",0.166
"Rhizobiaceae",920,"cellobiose",0.148
"Rhizobiaceae",920,"ribose",0.062
"Rhizobiaceae",920,"glycerol",0.139
"Rhizobiaceae",920,"succinate",0.132
"Rhizobiaceae",920,"fumarate",0.162
"Rhizobiaceae",920,"benzoate",0.001
"Rhizobiaceae",920,"glutamine",0.166
"Rhizobiaceae",920,"glycine",0.003
