"Genus","Inoculum","CS_duo","CS_type_duo","dom_cs_type","outcome2","dom_cs_v","epsi_sd","gen.ord"
"Citrobacter",2,"succinate_fructose","SA","acid","no interaction",0.0181590833716684,0.0206317490122752,"Citrobacter"
"Citrobacter",2,"succinate_glycerol","SA","sugar","no interaction",-0.0147234091601207,0.0249566555074256,"Citrobacter"
"Citrobacter",2,"succinate_ribose","SA","sugar","no interaction",-8.21244490427641e-05,0.00187869720039809,"Citrobacter"
"Enterobacteriaceae.8",2,"glucose_benzoate","SA","acid","no interaction",0.0531428161137527,0.29665065833484,"Enterobacteriaceae.8"
"Enterobacteriaceae.8",2,"glucose_fumarate","SA","sugar","no interaction",-0.234206316835497,0.163509837596864,"Enterobacteriaceae.8"
"Enterobacteriaceae.8",2,"glucose_glutamine","SA","acid","no interaction",0.121484276409644,0.190368199510885,"Enterobacteriaceae.8"
"Enterobacteriaceae.8",2,"glucose_glycine","SA","acid","no interaction",0.0884156402299124,0.230369481745232,"Enterobacteriaceae.8"
"Enterobacteriaceae.8",2,"succinate_cellobiose","SA","acid","no interaction",0.0818189969771521,0.235177250916576,"Enterobacteriaceae.8"
"Enterobacteriaceae.8",2,"succinate_fructose","SA","acid","no interaction",0.0319247443780199,0.105085250381441,"Enterobacteriaceae.8"
"Enterobacteriaceae.8",2,"succinate_glycerol","SA","acid","no interaction",0.0140498151268101,0.291796638848863,"Enterobacteriaceae.8"
"Enterobacteriaceae.8",2,"succinate_ribose","SA","acid","no interaction",0.0110811783752695,0.0118461621776168,"Enterobacteriaceae.8"
"Klebsiella",2,"glucose_benzoate","SA","acid","no interaction",0.271403956211691,0.291893521445049,"Klebsiella"
"Klebsiella",2,"glucose_glutamine","SA","acid","no interaction",0.0124988148394061,0.396537132558895,"Klebsiella"
"Klebsiella",2,"glucose_glycine","SA","sugar","no interaction",-0.521605308512329,0.211671618252345,"Klebsiella"
"Klebsiella",2,"succinate_cellobiose","SA","sugar","no interaction",-0.161487973324608,0.264671386330801,"Klebsiella"
"Klebsiella",2,"succinate_fructose","SA","sugar","no interaction",-0.213251910085794,0.385125221747068,"Klebsiella"
"Klebsiella",2,"succinate_glycerol","SA","sugar","no interaction",-0.166036652300723,0.460482290941074,"Klebsiella"
"Klebsiella",2,"succinate_ribose","SA","sugar","no interaction",-0.106845310568769,0.193462610543482,"Klebsiella"
"Pectobacterium",2,"glucose_benzoate","SA","sugar","no interaction",-0.0307486299970854,0.0270996425688773,"Pectobacterium"
"Pectobacterium",2,"glucose_fumarate","SA","sugar","no interaction",-0.0204571491568933,0.0356941895197016,"Pectobacterium"
"Pectobacterium",2,"glucose_glycine","SA","acid","no interaction",0.00264797667452647,0.0055152739683692,"Pectobacterium"
"Pectobacterium",2,"succinate_ribose","SA","sugar","no interaction",-0.251600607634245,0.201649053586041,"Pectobacterium"
"Pseudomonas",2,"glucose_benzoate","SA","acid","no interaction",0.172757975435372,0.126027463675604,"Pseudomonas"
"Pseudomonas",2,"glucose_fumarate","SA","sugar","no interaction",-0.0369168102667371,0.165566349643241,"Pseudomonas"
"Pseudomonas",2,"succinate_cellobiose","SA","sugar","no interaction",-0.0388060954063082,0.0614263044898059,"Pseudomonas"
"Pseudomonas",2,"succinate_fructose","SA","acid","no interaction",0.0181245441910801,0.0550895215509081,"Pseudomonas"
"Pseudomonas",2,"succinate_ribose","SA","acid","no interaction",0.00797138429635576,0.04989842738535,"Pseudomonas"
"Raoultella",2,"glucose_benzoate","SA","sugar","no interaction",-0.00365269662791624,0.0136693946391448,"Raoultella"
"Raoultella",2,"glucose_fumarate","SA","sugar","no interaction",-0.00634922074593338,0.0205346354804801,"Raoultella"
"Raoultella",2,"glucose_glycine","SA","acid","no interaction",0.00328305541791234,0.00810459582608053,"Raoultella"
"Raoultella",2,"succinate_cellobiose","SA","sugar","no interaction",-0.0195465060159436,0.0659441952919972,"Raoultella"
"Raoultella",2,"succinate_fructose","SA","acid","no interaction",0.0589230194493419,0.301654866616956,"Raoultella"
"Raoultella",2,"succinate_glycerol","SA","sugar","no interaction",-0.155049315287287,0.238382208970356,"Raoultella"
"Raoultella",2,"succinate_ribose","SA","acid","no interaction",0.016013255365469,0.00980992272334021,"Raoultella"
"Rosenbergiella",2,"succinate_ribose","SA","sugar","no interaction",-0.000763611528300332,0.00191839823076081,"Rosenbergiella"
"Shinella",2,"glucose_benzoate","SA","acid","no interaction",0.000635081039762784,0.00151698736851809,"Shinella"
"Shinella",2,"glucose_fumarate","SA","sugar","no interaction",-0.000110907124320521,0.000748661305171214,"Shinella"
"Shinella",2,"glucose_glycine","SA","acid","no interaction",0.00036611780102416,0.000473649705789894,"Shinella"
"Acinetobacter",1,"glucose_fumarate","SA","sugar","- dominance",-0.18867450110531,0.0390835167277606,"Acinetobacter"
"Citrobacter",1,"glucose_benzoate","SA","acid","antagonism",0.0657606968177945,0.00840955805980316,"Citrobacter"
"Citrobacter",1,"glucose_glycine","SA","sugar","synergy",-0.105404618390835,0.0168736086669647,"Citrobacter"
"Citrobacter",1,"succinate_glycerol","SA","acid","synergy",0.0503245830254328,0.0094611326828907,"Citrobacter"
"Enterobacter",1,"glucose_benzoate","SA","acid","synergy",0.475393751607184,0.0279332790622168,"Enterobacter"
"Enterobacter",1,"glucose_glutamine","SA","acid","synergy",0.296847889907551,0.103493858629143,"Enterobacter"
"Enterobacter",1,"succinate_cellobiose","SA","sugar","synergy",-0.179103458089992,0.0343928952458466,"Enterobacter"
"Enterobacter",1,"succinate_ribose","SA","sugar","synergy",-0.161219644775297,0.0576251820894825,"Enterobacter"
"Enterobacteriaceae.8",1,"glucose_fumarate","SA","acid","synergy",0.587899681086126,0.0876352397681514,"Enterobacteriaceae.8"
"Enterobacteriaceae.8",1,"glucose_glycine","SA","acid","synergy",0.111244446136483,0.0626363367098279,"Enterobacteriaceae.8"
"Enterobacteriaceae.8",1,"succinate_glycerol","SA","acid","- dominance",0.300615918813818,0.089824412045497,"Enterobacteriaceae.8"
"Pseudomonas",1,"glucose_benzoate","SA","acid","+ dominance",0.268606495825532,0.0594756376413695,"Pseudomonas"
"Raoultella",1,"glucose_benzoate","SA","acid","antagonism",0.461026174820882,0.0624579761002143,"Raoultella"
"Raoultella",1,"glucose_fumarate","SA","acid","antagonism",0.289435760563739,0.0273939862378224,"Raoultella"
"Raoultella",1,"succinate_glycerol","SA","sugar","synergy",-0.336152868102612,0.0805539193990877,"Raoultella"
"Rosenbergiella",1,"glucose_fumarate","SA","acid","antagonism",0.0847558468587721,0.035222543814158,"Rosenbergiella"
"Rosenbergiella",1,"succinate_glycerol","SA","sugar","synergy",-0.254742558607888,0.112362271728378,"Rosenbergiella"
"Rosenbergiella",1,"succinate_ribose","SA","sugar","+ dominance",-0.244109271173015,0.122683924555087,"Rosenbergiella"
"Shinella",1,"glucose_glycine","SA","sugar","- dominance",-0.0228835042336171,0.00676658928056322,"Shinella"
"Acinetobacter",2,"glucose_fumarate","SA","acid","+ dominance",0.204258212914165,0.0356152462423149,"Acinetobacter"
"Acinetobacter",2,"glucose_glutamine","SA","sugar","- dominance",-0.245915233200994,0.0200089798428071,"Acinetobacter"
"Acinetobacter",2,"succinate_cellobiose","SA","sugar","- dominance",-0.190054003994011,0.038576268146086,"Acinetobacter"
"Acinetobacter",2,"succinate_fructose","SA","sugar","- dominance",-0.185475326148894,0.0384102783178527,"Acinetobacter"
"Acinetobacter",2,"succinate_glycerol","SA","sugar","- dominance",-0.202574692542036,0.0392774223938522,"Acinetobacter"
"Acinetobacter",2,"succinate_ribose","SA","sugar","- dominance",-0.188636886657343,0.0390204626703305,"Acinetobacter"
"Klebsiella",2,"glucose_fumarate","SA","acid","- dominance",0.23169247521041,0.155318935547316,"Klebsiella"
"Pectobacterium",2,"glucose_glutamine","SA","sugar","synergy",-0.122528271657884,0.0504591607115196,"Pectobacterium"
"Pectobacterium",2,"succinate_cellobiose","SA","sugar","synergy",-0.304530041496439,0.0663395823467066,"Pectobacterium"
"Pectobacterium",2,"succinate_fructose","SA","sugar","synergy",-0.232688300021952,0.0828279239613032,"Pectobacterium"
"Pectobacterium",2,"succinate_glycerol","SA","sugar","synergy",-0.150528439096908,0.0506089633147082,"Pectobacterium"
"Pseudomonas",2,"glucose_glutamine","SA","sugar","- dominance",-0.0796861490866325,0.0442614274503561,"Pseudomonas"
"Pseudomonas",2,"glucose_glycine","SA","sugar","- dominance",-0.335181959654628,0.0314886786346969,"Pseudomonas"
"Pseudomonas",2,"succinate_glycerol","SA","sugar","- dominance",-0.0998461826452759,0.0504110237355907,"Pseudomonas"
"Raoultella",2,"glucose_glutamine","SA","sugar","synergy",-0.4106684347076,0.309036141159325,"Raoultella"
"Shinella",2,"glucose_glutamine","SA","sugar","- dominance",-0.13454383478673,0.0261779349029083,"Shinella"
"Shinella",2,"succinate_cellobiose","SA","sugar","- dominance",-0.165563571642149,0.0192161119345263,"Shinella"
"Shinella",2,"succinate_fructose","SA","sugar","- dominance",-0.164947542413154,0.0194938891745651,"Shinella"
"Shinella",2,"succinate_glycerol","SA","sugar","- dominance",-0.17750480300057,0.0211744440270399,"Shinella"
"Shinella",2,"succinate_ribose","SA","sugar","- dominance",-0.16730521802575,0.0190897240685671,"Shinella"
